frame,rally_id,player_id,speed_kmh,ball_x,ball_y,court_x,court_y,shot_type
3417,5,1,194.1,1276,566,575.4240112304688,-32.59343338012695,
3418,5,1,88.0,1275,556,578.0534057617188,-81.40184783935547,
3431,5,1,21.8,1271,490,599.7672729492188,-438.1892395019531,
3434,5,1,31.8,1273,494,600.0155029296875,-414.736083984375,
3457,5,2,109.8,1262,628,544.2897338867188,244.55752563476562,
3459,5,2,22.8,1253,637,534.6148681640625,281.5276184082031,
3460,5,2,22.8,1226,525,544.6920166015625,-239.86572265625,
3461,5,2,22.8,1205,468,543.900634765625,-570.1011962890625,
3466,5,2,290.5,1146,294,547.1543579101562,-2030.05859375,
3468,5,2,478.7,1128,253,542.3810424804688,-2529.4638671875,
3493,5,1,77.9,983,58,356.49139404296875,-6879.08251953125,
3494,5,1,141.4,978,60,344.11834716796875,-6801.51220703125,
3515,5,1,122.0,739,13,-326.227783203125,-8766.0390625,
3523,5,1,95.4,713,18,-384.3572998046875,-8493.4814453125,
3525,5,1,15.1,710,18,-392.54681396484375,-8491.7294921875,
3566,5,2,26.1,678,560,60.94772720336914,-49.1276969909668,
3567,5,2,61.5,677,553,57.89937210083008,-83.17655944824219,
3584,5,1,173.0,670,487,28.505956649780273,-437.0790710449219,
3585,5,1,42.1,670,491,30.044309616088867,-413.765869140625,
3614,5,1,139.7,658,659,72.9955062866211,375.2364501953125,
3615,5,1,426.0,657,601,55.96837615966797,139.18991088867188,
3622,5,1,278.8,668,355,-36.4472541809082,-1386.3607177734375,
3624,5,1,261.3,671,322,-53.297550201416016,-1695.3712158203125,
3647,5,1,30.3,697,196,-118.86613464355469,-3322.767333984375,
3697,5,2,10.8,1243,755,499.6920166015625,701.5331420898438,
3698,5,2,75.2,1249,742,506.578369140625,660.3016357421875,
3723,5,2,9.8,1241,520,560.1194458007812,-267.2515563964844,
3724,5,2,19.6,1241,522,559.427490234375,-256.4087829589844,
3725,5,2,9.7,1241,523,559.0829467773438,-251.00938415527344,
3726,5,2,9.7,1241,522,559.427490234375,-256.4087829589844,
3728,5,2,47.9,1242,531,557.2662963867188,-208.3584747314453,
3747,5,2,276.6,1222,629,511.9613342285156,249.2552032470703,
3748,5,2,25.7,1212,626,504.6669616699219,236.9810791015625,
3760,5,1,164.8,1035,323,395.6634521484375,-1712.760986328125,
3762,5,1,248.9,1018,300,377.629150390625,-1952.289306640625,
3828,5,1,106.0,808,524,165.892822265625,-234.44300842285156,
3838,5,1,228.5,947,417,289.0835876464844,-904.5574951171875,
3840,5,1,59.2,968,404,311.412841796875,-1002.0914916992188,
3849,5,1,44.2,1047,396,398.0042724609375,-1067.5804443359375,
3878,5,1,87.8,1201,596,502.89300537109375,107.98604583740234,
3879,5,1,139.8,1202,579,507.97918701171875,30.465078353881836,
3903,5,1,107.2,1221,468,559.7271728515625,-570.66455078125,
3934,5,1,128.9,1061,520,395.0925598144531,-262.4762268066406,
3935,5,1,141.2,1041,506,378.2281494140625,-339.10516357421875,
3969,5,1,43.2,706,636,104.2283935546875,284.7897033691406,
3970,5,1,271.9,721,600,107.71353912353516,133.77085876464844,
4004,5,2,62.0,1039,75,481.50115966796875,-6290.537109375,
4096,5,2,3.8,1353,1005,520.7406616210938,1323.68212890625,
4097,5,2,18.0,1353,1000,521.630859375,1313.737060546875,
4106,5,2,2.1,1360,969,531.3244018554688,1250.2213134765625,
4120,5,2,3.5,1353,1017,518.6337280273438,1347.2213134765625,
4122,5,2,7.0,1352,1023,517.0482788085938,1358.8162841796875,
4124,5,2,38.5,1352,1014,518.6053466796875,1341.3760986328125,
4126,5,2,10.6,1350,1024,515.7830810546875,1360.73095703125,
4127,5,2,3.5,1350,1023,515.9537963867188,1358.808837890625,
4128,5,2,4.4,1347,1022,514.4817504882812,1356.87255859375,
4130,5,2,7.4,1344,1024,512.5025024414062,1360.7086181640625,
4142,5,2,3.5,1337,1024,508.6757507324219,1360.6826171875,
4260,5,1,187.8,569,419,-105.27458953857422,-873.1533813476562,
4263,5,1,215.6,705,418,35.4172477722168,-886.3825073242188,
4264,5,1,154.7,751,428,86.80330657958984,-817.5185546875,
4536,7,1,336.7,1087,413,438.22943115234375,-940.3721313476562,
4537,7,1,249.4,1098,395,454.26458740234375,-1078.0235595703125,
4545,7,2,145.9,1156,327,544.89990234375,-1681.9111328125,
4547,7,2,75.9,1168,319,563.6229858398438,-1763.529541015625,
4553,7,2,21.5,1205,305,618.572265625,-1913.8507080078125,
4554,7,2,22.6,1211,306,625.7533569335938,-1903.5623779296875,
4584,7,1,173.7,1302,537,609.27880859375,-178.40090942382812,
4585,7,1,173.7,1265,480,598.1600952148438,-497.95770263671875,
